,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,load_time
0,sberbank/1015006259,СберБанк,"ул. Пушкина, 33А/72, Нальчик",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:30, 'sun': выходной, ",43.481132,43.604296,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",86,77,45,56,2024-08-05 10:33:28
1,sberbank/67528337674,СберБанк,"ул. Пушкина, 60, Нальчик",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",43.482008,43.607144,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,85,,,2024-08-05 10:33:28
2,sberbank/1130034912,СберБанк,"просп. Ленина, 35, Нальчик",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",43.480595,43.600397,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,100,,,2024-08-05 10:33:28
3,sberbank/1129226757,СберБанк,"Кабардинская ул., 206А, Нальчик",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",43.505447,43.640642,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,76,100,67,2024-08-05 10:33:28
4,sberbank/1058447392,СберБанк,"просп. Кулиева, 6, Нальчик",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:00, 'sun': выходной, ",43.472948,43.584282,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sber_students_bot', 'https://vk.com/sberbank']",86,80,,,2024-08-05 10:33:28
5,sberbank/1091809180,СберБанк,"ул. 2-й Таманской Дивизии, 65, Нальчик",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",43.482695,43.643705,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,67,,,2024-08-05 10:33:28
6,sberbank/1009315372,СберБанк,"Баксанское ш., 33, Чегем",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",43.565795,43.590552,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,79,100,,2024-08-05 10:33:28
7,sberbank/1125668275,СберБанк,"ул. Ленина, 141, село Нартан",,"'mon': 09:00-16:45, 'tue': 09:00-16:45, 'wed': 09:00-16:45, 'thu': 09:00-16:45, 'fri': 09:00-16:30, 'sat': выходной, 'sun': выходной, ",43.507657,43.704242,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 10:33:28
8,sberbank/191031328955,СберБанк,"ул. Байсултанова, 96, село Яникой",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",43.543000,43.505975,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 10:33:28
9,sberbank/102081699738,СберБанк,"ул. С.Х. Бадракова, 79, село Аушигер",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-16:45, 'wed': 09:00-16:45, 'thu': 09:00-16:45, 'fri': 09:00-16:45, 'sat': 09:00-16:30, 'sun': выходной, ",43.391622,43.735652,"3,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,2024-08-05 10:33:28
