,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,load_time
0,sberbank/1124009885,СберБанк,"просп. Имама Шамиля, 12, Махачкала",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.980053,47.474265,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,78,63,100,,2024-08-05 07:33:13
1,sberbank/1212067565,СберБанк,"ул. Абдулхакима Исмаилова, 32, Махачкала",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.971478,47.481578,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,57,46,,,2024-08-05 07:33:13
2,sberbank/1166052814,СберБанк,"просп. Имама Шамиля, 66, Махачкала",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.963145,47.499184,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,58,,90,42,2024-08-05 07:33:13
3,sberbank/1268216090,СберБанк,"просп. Расула Гамзатова, 64, Махачкала",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': 09:00-18:00, 'sun': выходной, ",42.976478,47.516046,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,47,,100,,2024-08-05 07:33:13
4,sberbank/1557968867,СберБанк,"просп. Имама Шамиля, 80, Махачкала",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.956198,47.509883,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,68,63,100,,2024-08-05 07:33:13
5,sberbank/1596437838,СберБанк,"просп. Али-Гаджи Акушинского, 293, Махачкала",www.sberbank.ru,"'mon': 08:00-17:30, 'tue': 08:00-17:30, 'wed': 08:00-17:30, 'thu': 08:30-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.973338,47.427328,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,43,53,,,2024-08-05 07:33:13
6,sberbank/14148740298,СберБанк,"ул. Магомедтагирова, 39А, Махачкала",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",42.995544,47.457709,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,46,55,69,,2024-08-05 07:33:13
7,sberbank/1212211900,СберБанк,"просп. Амет-Хана Султана, 15, Махачкала",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.947791,47.506595,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,92,,,,2024-08-05 07:33:13
8,sberbank/157960063536,СберБанк,"ул. Коркмасова, 17, Махачкала",,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': 09:00-16:00, 'sun': выходной, ",42.982433,47.497872,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,50,68,,,2024-08-05 07:33:13
9,sberbank/1641267142,СберБанк,"просп. Али-Гаджи Акушинского, 106, Махачкала",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 08:30-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.978009,47.445742,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,56,60,,,2024-08-05 07:33:13
